Time_Now;SV1_Rebuffer;SV1_Rebuffer_MME;SV2_Rebuffer;SV2_Rebuffer_MME;SV3_Rebuffer;SV3_Rebuffer_MME;Cloud_Rebuffer;Cloud_Rebuffer_MME
3;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;
7;0;0;0;0;0;0;3.28104;1.64052;
8;0;0;0;0;0;0;3.28104;2.46078;
9;0;0;0;0;0;0;3.28104;2.87091;
10;0;0;0;0;0;0;3.28104;3.07597;
11;0;0;0;0;0;0;3.28104;3.17851;
12;0;0;0;0;0;0;3.28104;3.22977;
13;0;0;0;0;0;0;3.28104;3.2554;
14;0;0;0;0;0;0;3.28104;3.26822;
15;0;0;0;0;0;0;3.28104;3.27463;
16;0;0;0;0;0;0;3.28104;3.27783;
17;0;0;0;0;0;0;3.28104;3.27944;
18;0;0;0;0;0;0;3.28104;3.28024;
19;0;0;0;0;0;0;3.28104;3.28064;
20;0;0;0;0;0;0;3.28104;3.28084;
21;0;0;0;0;0;0;3.28104;3.28094;
22;0;0;0;0;0;0;3.28104;3.28099;
23;0;0;0;0;0;0;3.28104;3.28101;
24;0;0;0;0;0;0;3.28104;3.28103;
25;0;0;0;0;0;0;3.28104;3.28103;
26;0;0;0;0;0;0;3.28104;3.28103;
27;0;0;0;0;0;0;3.28104;3.28104;
28;0;0;0;0;0;0;3.28104;3.28104;
29;0;0;0;0;0;0;3.28104;3.28104;
30;0;0;0;0;0;0;3.28104;3.28104;
31;0;0;0;0;0;0;3.28104;3.28104;
32;0;0;0;0;0;0;3.28104;3.28104;
33;0;0;0;0;0;0;3.28104;3.28104;
34;0;0;0;0;0;0;3.28104;3.28104;
35;0;0;0;0;0;0;3.28104;3.28104;
36;0;0;0;0;0;0;3.28104;3.28104;
37;0;0;0;0;0;0;3.28104;3.28104;
38;0;0;0;0;0;0;3.28104;3.28104;
39;0;0;0;0;0;0;3.28104;3.28104;
40;0;0;0;0;0;0;3.28104;3.28104;
41;0;0;0;0;0;0;3.28104;3.28104;
42;0;0;0;0;0;0;3.28104;3.28104;
43;0;0;0;0;0;0;3.28104;3.28104;
44;0;0;0;0;0;0;3.28104;3.28104;
45;0;0;0;0;0;0;3.28104;3.28104;
46;0;0;0;0;0;0;3.28104;3.28104;
47;0;0;0;0;0;0;3.28104;3.28104;
48;0;0;0;0;0;0;3.28104;3.28104;
49;0;0;0;0;0;0;3.28104;3.28104;
50;0;0;0;0;0;0;3.28104;3.28104;
51;0;0;0;0;0;0;3.28104;3.28104;
52;0;0;0;0;0;0;3.28104;3.28104;
53;0;0;0;0;0;0;3.28104;3.28104;
54;0;0;0;0;0;0;3.28104;3.28104;
55;0;0;0;0;0;0;3.28104;3.28104;
56;0;0;0;0;0;0;3.28104;3.28104;
57;0;0;0;0;0;0;3.28104;3.28104;
58;0;0;0;0;0;0;3.28104;3.28104;
59;0;0;0;0;0;0;3.28104;3.28104;
60;0;0;0;0;0;0;3.28104;3.28104;
61;0;0;0;0;0;0;3.28104;3.28104;
62;0;0;0;0;0;0;3.28104;3.28104;
63;0;0;0;0;0;0;3.28104;3.28104;
64;0;0;0;0;0;0;3.28104;3.28104;
65;0;0;0;0;0;0;3.28104;3.28104;
